traders-redis  | 1:signal-handler (1776959369) Received SIGTERM scheduling shutdown...
traders-redis  | 1:M 29 Apr 2026 01:52:33.096 # Redis is now ready to exit, bye bye...
traders-redis  | 1:C 29 Apr 2026 01:52:45.941 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
traders-redis  | 1:signal-handler (1777427712) Received SIGTERM scheduling shutdown...
traders-redis  | 1:M 29 Apr 2026 01:55:12.199 # Redis is now ready to exit, bye bye...
traders-edge   | {"level":"info","ts":1777410312.4567535,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
traders-edge   | {"level":"info","ts":1777410312.4567983,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"warn","ts":1777410312.4568238,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"info","ts":1777410312.4575984,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc00017f880"}
traders-edge   | {"level":"info","ts":1777410312.515033,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777410312.5152566,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777410312.5174723,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"warn","ts":1777410312.5176363,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777410312.5176432,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777410312.5176466,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777410312.517651,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["api.173.249.18.14.sslip.io","173.249.18.14.sslip.io","bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777410312.552094,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777410312.5564125,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777496712.556407,"try_again_in":86399.999999015}
traders-edge   | {"level":"info","ts":1777410312.5573885,"logger":"tls","msg":"finished cleaning storage units"}
traders-edge   | {"level":"warn","ts":1777410312.5677388,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777410312.6130059,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777410312.6504703,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777410312.6505132,"msg":"serving initial configuration"}
traders-edge   | {"level":"info","ts":1777410313.4089448,"msg":"got renewal info","names":["bff.173.249.18.14.sslip.io"],"window_start":1781877856,"window_end":1782033306,"selected_time":1781907749,"recheck_after":1777428834.408924,"explanation_url":""}
traders-edge   | {"level":"info","ts":1777410313.4210227,"logger":"tls","msg":"updated ACME renewal information","identifiers":["bff.173.249.18.14.sslip.io"],"cert_hash":"77c958d4838278ad0a572e1a307f08d5c27c52552dd9e75f038067add6877f26","ari_unique_id":"rkie3IcdRKBv2qLlYHQEeMKcAIA.BXMrhqBNhAIUoIEiYamFuSU5","cert_expiry":1784546411,"selected_time":1781998520,"next_update":1777428834.408924,"explanation_url":""}
traders-edge   | {"level":"error","ts":1777411678.6907694,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"106.219.148.128","remote_port":"15139","client_ip":"106.219.148.128","proto":"HTTP/1.1","method":"GET","host":"bff.173.249.18.14.sslip.io","uri":"/health","headers":{"User-Agent":["curl/8.18.0"],"Accept":["*/*"]},"tls":{"resumed":false,"version":771,"cipher_suite":49195,"proto":"http/1.1","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.00717585,"status":502,"err_id":"uv6gg0hw9","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"error","ts":1777411712.1089473,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"106.219.148.128","remote_port":"24148","client_ip":"106.219.148.128","proto":"HTTP/1.1","method":"GET","host":"bff.173.249.18.14.sslip.io","uri":"/","headers":{"Accept":["*/*"],"User-Agent":["curl/8.18.0"]},"tls":{"resumed":false,"version":771,"cipher_suite":49195,"proto":"http/1.1","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.001530762,"status":502,"err_id":"q1jsb16rp","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"error","ts":1777411755.6681905,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"106.219.148.128","remote_port":"25457","client_ip":"106.219.148.128","proto":"HTTP/1.1","method":"GET","host":"bff.173.249.18.14.sslip.io","uri":"/health","headers":{"User-Agent":["curl/8.18.0"],"Accept":["*/*"]},"tls":{"resumed":false,"version":771,"cipher_suite":49195,"proto":"http/1.1","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.001058686,"status":502,"err_id":"irwe818a8","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"error","ts":1777412700.0402188,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"106.219.148.128","remote_port":"24573","client_ip":"106.219.148.128","proto":"HTTP/2.0","method":"OPTIONS","host":"bff.173.249.18.14.sslip.io","uri":"/ai/status","headers":{"Sec-Fetch-Dest":["empty"],"Accept":["*/*"],"Origin":["https://tradergunit.pages.dev"],"Sec-Fetch-Mode":["cors"],"Access-Control-Request-Method":["GET"],"Access-Control-Request-Headers":["content-type"],"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"],"Sec-Fetch-Site":["cross-site"],"Accept-Encoding":["gzip, deflate, br, zstd"],"Accept-Language":["en-GB,en-US;q=0.9,en;q=0.8"],"Referer":["https://tradergunit.pages.dev/"],"Priority":["u=1, i"]},"tls":{"resumed":false,"version":772,"cipher_suite":4865,"proto":"h2","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.002014145,"status":502,"err_id":"91s46avax","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"info","ts":1777413312.9751024,"msg":"got renewal info","names":["173.249.18.14.sslip.io"],"window_start":1781878942,"window_end":1782034392,"selected_time":1781953310,"recheck_after":1777433676.9750118,"explanation_url":""}
traders-edge   | {"level":"info","ts":1777413312.993242,"logger":"tls.cache.maintenance","msg":"updated ACME renewal information","identifiers":["173.249.18.14.sslip.io"],"cert_hash":"529b8bcd31b634369d25d3658eda57ce123f8c9e5d8f6708370dcbabeb0bb05b","ari_unique_id":"rkie3IcdRKBv2qLlYHQEeMKcAIA.BT-nbELV4DdiX0p-w9h67rUW","cert_expiry":1784547497,"selected_time":1781982274,"next_update":1777433676.9750118,"explanation_url":""}
traders-edge   | {"level":"error","ts":1777415022.5364122,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"104.210.140.137","remote_port":"25293","client_ip":"104.210.140.137","proto":"HTTP/2.0","method":"GET","host":"bff.173.249.18.14.sslip.io","uri":"/robots.txt","headers":{"Cache-Control":["no-cache"],"User-Agent":["Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot"],"X-Request-Id":["c20895da-df9b-43f0-993d-13e57db5631c"],"X-Envoy-Expected-Rq-Timeout-Ms":["15000"],"Accept-Encoding":["gzip, deflate, br"],"Accept":["text/plain"]},"tls":{"resumed":false,"version":772,"cipher_suite":4865,"proto":"h2","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.003284266,"status":502,"err_id":"rz73avwwc","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"error","ts":1777415025.0320787,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"104.210.140.128","remote_port":"8500","client_ip":"104.210.140.128","proto":"HTTP/2.0","method":"GET","host":"bff.173.249.18.14.sslip.io","uri":"/robots.txt","headers":{"User-Agent":["Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot"],"X-Request-Id":["c20895da-df9b-43f0-993d-13e57db5631c"],"X-Envoy-Expected-Rq-Timeout-Ms":["15000"],"Accept-Encoding":["gzip, deflate, br"],"Accept":["text/plain"],"Cache-Control":["no-cache"]},"tls":{"resumed":false,"version":772,"cipher_suite":4865,"proto":"h2","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.001338924,"status":502,"err_id":"renv79e5t","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"error","ts":1777415027.7711515,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"104.210.140.142","remote_port":"53140","client_ip":"104.210.140.142","proto":"HTTP/2.0","method":"GET","host":"bff.173.249.18.14.sslip.io","uri":"/robots.txt","headers":{"Accept":["text/plain"],"Cache-Control":["no-cache"],"User-Agent":["Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot"],"X-Request-Id":["c20895da-df9b-43f0-993d-13e57db5631c"],"X-Envoy-Expected-Rq-Timeout-Ms":["12798"],"Accept-Encoding":["gzip, deflate, br"]},"tls":{"resumed":false,"version":772,"cipher_suite":4865,"proto":"h2","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.000486413,"status":502,"err_id":"j2k992zx5","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"info","ts":1777419832.04587,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
traders-edge   | {"level":"info","ts":1777419832.066017,"msg":"adapted config to JSON","adapter":"caddyfile"}
traders-edge   | {"level":"warn","ts":1777419832.0660787,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
traders-edge   | {"level":"info","ts":1777419832.0743625,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//localhost:2019","//[::1]:2019","//127.0.0.1:2019"]}
traders-edge   | {"level":"info","ts":1777419832.0785246,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
traders-edge   | {"level":"info","ts":1777419832.0785856,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"warn","ts":1777419832.0786002,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"info","ts":1777419832.084893,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc0004edd80"}
traders-edge   | {"level":"info","ts":1777419832.1087708,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777419832.1090343,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777419832.1093867,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"warn","ts":1777419832.109583,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777419832.1095908,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777419832.1095946,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777419832.1095989,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["api.173.249.18.14.sslip.io","173.249.18.14.sslip.io","bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777419832.1181805,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777419832.123646,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777419832.1238632,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777506232.12386,"try_again_in":86399.999999599}
traders-edge   | {"level":"info","ts":1777419832.1240382,"logger":"tls","msg":"finished cleaning storage units"}
traders-edge   | {"level":"warn","ts":1777419832.127507,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777419832.1304922,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777419832.1306722,"msg":"serving initial configuration"}
traders-edge   | {"level":"info","ts":1777421329.133312,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
traders-edge   | {"level":"info","ts":1777421329.1413732,"msg":"adapted config to JSON","adapter":"caddyfile"}
traders-edge   | {"level":"warn","ts":1777421329.1417358,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
traders-edge   | {"level":"info","ts":1777421329.1511247,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//[::1]:2019","//127.0.0.1:2019","//localhost:2019"]}
traders-edge   | {"level":"info","ts":1777421329.1565692,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
traders-edge   | {"level":"info","ts":1777421329.156919,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"warn","ts":1777421329.1570292,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"info","ts":1777421329.1575735,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc0005fc300"}
traders-edge   | {"level":"info","ts":1777421329.1720912,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777421329.173003,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777421329.1765893,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"warn","ts":1777421329.176786,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777421329.1771502,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777421329.1771626,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777421329.1771677,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["api.173.249.18.14.sslip.io","173.249.18.14.sslip.io","bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777421329.1843476,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777421329.1847966,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777507729.184794,"try_again_in":86399.999999569}
traders-edge   | {"level":"info","ts":1777421329.184934,"logger":"tls","msg":"finished cleaning storage units"}
traders-edge   | {"level":"warn","ts":1777421329.1883156,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777421329.1940618,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777421329.1974235,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777421329.1975791,"msg":"serving initial configuration"}
traders-edge   | {"level":"error","ts":1777422523.4348688,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"20.55.15.2","remote_port":"44032","client_ip":"20.55.15.2","proto":"HTTP/2.0","method":"OPTIONS","host":"bff.173.249.18.14.sslip.io","uri":"/ai/status","headers":{"User-Agent":["Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.7727.15 Safari/537.36"],"Sec-Fetch-Mode":["cors"],"Accept":["*/*"],"Origin":["https://tradergunit.pages.dev"],"Referer":["https://tradergunit.pages.dev/"],"Accept-Encoding":["gzip, deflate, br, zstd"],"Sec-Fetch-Dest":["empty"],"Sec-Fetch-Site":["cross-site"],"Priority":["u=1, i"],"Access-Control-Request-Method":["GET"],"Access-Control-Request-Headers":["content-type"]},"tls":{"resumed":false,"version":772,"cipher_suite":4865,"proto":"h2","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.014761079,"status":502,"err_id":"rtrri2bnt","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"error","ts":1777422623.3974051,"logger":"http.log.error","msg":"dial tcp 172.18.0.5:8788: connect: connection refused","request":{"remote_ip":"172.214.45.241","remote_port":"26632","client_ip":"172.214.45.241","proto":"HTTP/2.0","method":"OPTIONS","host":"bff.173.249.18.14.sslip.io","uri":"/ai/status","headers":{"Sec-Fetch-Dest":["empty"],"Accept-Encoding":["gzip, deflate, br, zstd"],"Priority":["u=1, i"],"Access-Control-Request-Headers":["content-type"],"Origin":["https://tradergunit.pages.dev"],"User-Agent":["Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.7727.15 Safari/537.36"],"Sec-Fetch-Site":["cross-site"],"Accept":["*/*"],"Referer":["https://tradergunit.pages.dev/"],"Access-Control-Request-Method":["GET"],"Sec-Fetch-Mode":["cors"]},"tls":{"resumed":false,"version":772,"cipher_suite":4865,"proto":"h2","server_name":"bff.173.249.18.14.sslip.io"}},"duration":0.000975871,"status":502,"err_id":"vx1te1zun","err_trace":"reverseproxy.statusError (reverseproxy.go:1373)"}
traders-edge   | {"level":"info","ts":1777425403.2477338,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
traders-edge   | {"level":"info","ts":1777425403.2916143,"msg":"adapted config to JSON","adapter":"caddyfile"}
traders-edge   | {"level":"warn","ts":1777425403.291664,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
traders-edge   | {"level":"info","ts":1777425403.3520887,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//127.0.0.1:2019","//localhost:2019","//[::1]:2019"]}
traders-edge   | {"level":"warn","ts":1777425403.353065,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"info","ts":1777425403.3531315,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
traders-edge   | {"level":"info","ts":1777425403.3531551,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"info","ts":1777425403.3558414,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc0005bfe00"}
traders-edge   | {"level":"info","ts":1777425403.407993,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777425403.408572,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777425403.432332,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"warn","ts":1777425403.4388554,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777425403.4538739,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777425403.4539957,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777425403.454035,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["bff.173.249.18.14.sslip.io","api.173.249.18.14.sslip.io","173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777425403.4881828,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777511803.4881763,"try_again_in":86399.999999149}
traders-edge   | {"level":"info","ts":1777425403.4888604,"logger":"tls","msg":"finished cleaning storage units"}
traders-edge   | {"level":"warn","ts":1777425403.5000215,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777425403.5056489,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777425403.5369127,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777425403.5501144,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777425403.5549798,"msg":"serving initial configuration"}
traders-edge   | {"level":"info","ts":1777426709.359698,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
traders-edge   | {"level":"info","ts":1777426709.3765855,"msg":"adapted config to JSON","adapter":"caddyfile"}
traders-edge   | {"level":"warn","ts":1777426709.376639,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
traders-edge   | {"level":"info","ts":1777426709.4128425,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//localhost:2019","//[::1]:2019","//127.0.0.1:2019"]}
traders-edge   | {"level":"info","ts":1777426709.4138765,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
